===== Machine 2 has PID 5889 and clockspeed 1 Hz =====
EVENT[T: 1457884062][LC: 1] - RECIEVE: Proc 2. Queue size is 0
EVENT[T: 1457884063][LC: 4] - RECIEVE: Proc 2. Queue size is 0
EVENT[T: 1457884064][LC: 5] - INTERNAL EVENT: Code 7
EVENT[T: 1457884065][LC: 6] - INTERNAL EVENT: Code 7
EVENT[T: 1457884066][LC: 12] - RECIEVE: Proc 2. Queue size is 0
EVENT[T: 1457884067][LC: 13] - INTERNAL EVENT: Code 6
EVENT[T: 1457884068][LC: 21] - RECIEVE: Proc 2. Queue size is 1
EVENT[T: 1457884069][LC: 23] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884070][LC: 26] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884071][LC: 27] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884072][LC: 29] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884073][LC: 30] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884074][LC: 32] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884075][LC: 34] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884076][LC: 35] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884077][LC: 39] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884078][LC: 40] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884079][LC: 41] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884080][LC: 54] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884081][LC: 55] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884082][LC: 58] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884083][LC: 62] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884084][LC: 63] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884085][LC: 71] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884086][LC: 72] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884087][LC: 76] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884088][LC: 80] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884089][LC: 82] - RECIEVE: Proc 2. Queue size is 9
EVENT[T: 1457884090][LC: 83] - RECIEVE: Proc 2. Queue size is 9
EVENT[T: 1457884091][LC: 84] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884092][LC: 90] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884093][LC: 94] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884094][LC: 96] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884095][LC: 102] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884096][LC: 104] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884097][LC: 106] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884098][LC: 107] - RECIEVE: Proc 2. Queue size is 9
EVENT[T: 1457884099][LC: 109] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884100][LC: 117] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884101][LC: 125] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884102][LC: 131] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884103][LC: 133] - RECIEVE: Proc 2. Queue size is 9
EVENT[T: 1457884104][LC: 136] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884105][LC: 142] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884106][LC: 143] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884107][LC: 144] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884108][LC: 149] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884109][LC: 157] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884110][LC: 158] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884111][LC: 162] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884112][LC: 163] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884113][LC: 171] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884114][LC: 192] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884115][LC: 193] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884116][LC: 194] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884117][LC: 195] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884118][LC: 197] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884119][LC: 209] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884120][LC: 217] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884121][LC: 221] - RECIEVE: Proc 2. Queue size is 2
