===== Machine 2 has PID 6434 and clockspeed 1 Hz =====
EVENT[T: 1457884441][LC: 1] - INTERNAL EVENT: Code 7
EVENT[T: 1457884442][LC: 2] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884443][LC: 3] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884444][LC: 4] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884445][LC: 6] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884446][LC: 8] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884447][LC: 15] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884448][LC: 16] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884449][LC: 22] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884450][LC: 23] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884451][LC: 27] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884452][LC: 28] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884453][LC: 29] - RECIEVE: Proc 2. Queue size is 9
EVENT[T: 1457884454][LC: 31] - RECIEVE: Proc 2. Queue size is 9
EVENT[T: 1457884455][LC: 36] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884456][LC: 39] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884457][LC: 43] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884458][LC: 45] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884459][LC: 51] - RECIEVE: Proc 2. Queue size is 9
EVENT[T: 1457884460][LC: 56] - RECIEVE: Proc 2. Queue size is 12
EVENT[T: 1457884461][LC: 58] - RECIEVE: Proc 2. Queue size is 12
EVENT[T: 1457884462][LC: 59] - RECIEVE: Proc 2. Queue size is 12
EVENT[T: 1457884463][LC: 62] - RECIEVE: Proc 2. Queue size is 12
EVENT[T: 1457884464][LC: 77] - RECIEVE: Proc 2. Queue size is 14
EVENT[T: 1457884465][LC: 79] - RECIEVE: Proc 2. Queue size is 14
EVENT[T: 1457884466][LC: 83] - RECIEVE: Proc 2. Queue size is 13
EVENT[T: 1457884467][LC: 86] - RECIEVE: Proc 2. Queue size is 13
EVENT[T: 1457884468][LC: 88] - RECIEVE: Proc 2. Queue size is 13
EVENT[T: 1457884469][LC: 90] - RECIEVE: Proc 2. Queue size is 15
EVENT[T: 1457884470][LC: 92] - RECIEVE: Proc 2. Queue size is 15
EVENT[T: 1457884471][LC: 94] - RECIEVE: Proc 2. Queue size is 15
EVENT[T: 1457884472][LC: 95] - RECIEVE: Proc 2. Queue size is 17
EVENT[T: 1457884473][LC: 96] - RECIEVE: Proc 2. Queue size is 20
EVENT[T: 1457884474][LC: 98] - RECIEVE: Proc 2. Queue size is 20
EVENT[T: 1457884475][LC: 106] - RECIEVE: Proc 2. Queue size is 19
EVENT[T: 1457884476][LC: 112] - RECIEVE: Proc 2. Queue size is 20
EVENT[T: 1457884477][LC: 113] - RECIEVE: Proc 2. Queue size is 22
EVENT[T: 1457884478][LC: 115] - RECIEVE: Proc 2. Queue size is 24
EVENT[T: 1457884479][LC: 118] - RECIEVE: Proc 2. Queue size is 23
EVENT[T: 1457884480][LC: 127] - RECIEVE: Proc 2. Queue size is 22
EVENT[T: 1457884481][LC: 132] - RECIEVE: Proc 2. Queue size is 21
EVENT[T: 1457884482][LC: 136] - RECIEVE: Proc 2. Queue size is 22
EVENT[T: 1457884483][LC: 139] - RECIEVE: Proc 2. Queue size is 21
EVENT[T: 1457884484][LC: 140] - RECIEVE: Proc 2. Queue size is 21
EVENT[T: 1457884485][LC: 141] - RECIEVE: Proc 2. Queue size is 24
EVENT[T: 1457884486][LC: 149] - RECIEVE: Proc 2. Queue size is 24
EVENT[T: 1457884487][LC: 152] - RECIEVE: Proc 2. Queue size is 24
EVENT[T: 1457884488][LC: 153] - RECIEVE: Proc 2. Queue size is 23
EVENT[T: 1457884489][LC: 154] - RECIEVE: Proc 2. Queue size is 26
EVENT[T: 1457884490][LC: 155] - RECIEVE: Proc 2. Queue size is 26
EVENT[T: 1457884491][LC: 158] - RECIEVE: Proc 2. Queue size is 25
EVENT[T: 1457884492][LC: 159] - RECIEVE: Proc 2. Queue size is 26
EVENT[T: 1457884493][LC: 160] - RECIEVE: Proc 2. Queue size is 28
EVENT[T: 1457884494][LC: 162] - RECIEVE: Proc 2. Queue size is 28
EVENT[T: 1457884495][LC: 171] - RECIEVE: Proc 2. Queue size is 29
EVENT[T: 1457884496][LC: 172] - RECIEVE: Proc 2. Queue size is 29
EVENT[T: 1457884497][LC: 174] - RECIEVE: Proc 2. Queue size is 28
EVENT[T: 1457884498][LC: 178] - RECIEVE: Proc 2. Queue size is 29
EVENT[T: 1457884499][LC: 179] - RECIEVE: Proc 2. Queue size is 30
EVENT[T: 1457884500][LC: 182] - RECIEVE: Proc 2. Queue size is 31
