===== Machine 1 has PID 8168 and clockspeed 2 Hz =====
EVENT[T: 1457886249][LC: 1] - INTERNAL EVENT: Code 8
EVENT[T: 1457886249][LC: 2] - RECIEVE: Proc 1. Queue size is 0
EVENT[T: 1457886250][LC: 12] - RECIEVE: Proc 1. Queue size is 4
EVENT[T: 1457886250][LC: 17] - RECIEVE: Proc 1. Queue size is 6
EVENT[T: 1457886251][LC: 18] - RECIEVE: Proc 1. Queue size is 6
EVENT[T: 1457886251][LC: 19] - RECIEVE: Proc 1. Queue size is 9
EVENT[T: 1457886252][LC: 20] - RECIEVE: Proc 1. Queue size is 10
EVENT[T: 1457886252][LC: 23] - RECIEVE: Proc 1. Queue size is 10
EVENT[T: 1457886253][LC: 28] - RECIEVE: Proc 1. Queue size is 13
EVENT[T: 1457886253][LC: 29] - RECIEVE: Proc 1. Queue size is 15
EVENT[T: 1457886254][LC: 42] - RECIEVE: Proc 1. Queue size is 18
EVENT[T: 1457886254][LC: 44] - RECIEVE: Proc 1. Queue size is 19
EVENT[T: 1457886255][LC: 46] - RECIEVE: Proc 1. Queue size is 22
EVENT[T: 1457886255][LC: 47] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886256][LC: 53] - RECIEVE: Proc 1. Queue size is 24
EVENT[T: 1457886256][LC: 56] - RECIEVE: Proc 1. Queue size is 24
EVENT[T: 1457886257][LC: 57] - RECIEVE: Proc 1. Queue size is 28
EVENT[T: 1457886257][LC: 64] - RECIEVE: Proc 1. Queue size is 30
EVENT[T: 1457886258][LC: 76] - RECIEVE: Proc 1. Queue size is 31
EVENT[T: 1457886258][LC: 79] - RECIEVE: Proc 1. Queue size is 34
EVENT[T: 1457886259][LC: 82] - RECIEVE: Proc 1. Queue size is 35
EVENT[T: 1457886259][LC: 83] - RECIEVE: Proc 1. Queue size is 37
EVENT[T: 1457886260][LC: 84] - RECIEVE: Proc 1. Queue size is 37
EVENT[T: 1457886260][LC: 88] - RECIEVE: Proc 1. Queue size is 38
EVENT[T: 1457886261][LC: 94] - RECIEVE: Proc 1. Queue size is 39
EVENT[T: 1457886261][LC: 95] - RECIEVE: Proc 1. Queue size is 44
EVENT[T: 1457886262][LC: 101] - RECIEVE: Proc 1. Queue size is 44
EVENT[T: 1457886262][LC: 102] - RECIEVE: Proc 1. Queue size is 44
EVENT[T: 1457886263][LC: 105] - RECIEVE: Proc 1. Queue size is 44
EVENT[T: 1457886263][LC: 106] - RECIEVE: Proc 1. Queue size is 45
EVENT[T: 1457886264][LC: 112] - RECIEVE: Proc 1. Queue size is 46
EVENT[T: 1457886264][LC: 118] - RECIEVE: Proc 1. Queue size is 48
EVENT[T: 1457886265][LC: 120] - RECIEVE: Proc 1. Queue size is 50
EVENT[T: 1457886265][LC: 122] - RECIEVE: Proc 1. Queue size is 50
EVENT[T: 1457886266][LC: 123] - RECIEVE: Proc 1. Queue size is 53
EVENT[T: 1457886266][LC: 126] - RECIEVE: Proc 1. Queue size is 56
EVENT[T: 1457886267][LC: 132] - RECIEVE: Proc 1. Queue size is 58
EVENT[T: 1457886267][LC: 141] - RECIEVE: Proc 1. Queue size is 58
EVENT[T: 1457886268][LC: 142] - RECIEVE: Proc 1. Queue size is 58
EVENT[T: 1457886268][LC: 152] - RECIEVE: Proc 1. Queue size is 59
EVENT[T: 1457886269][LC: 154] - RECIEVE: Proc 1. Queue size is 61
EVENT[T: 1457886269][LC: 158] - RECIEVE: Proc 1. Queue size is 61
EVENT[T: 1457886270][LC: 162] - RECIEVE: Proc 1. Queue size is 62
EVENT[T: 1457886270][LC: 163] - RECIEVE: Proc 1. Queue size is 61
EVENT[T: 1457886271][LC: 166] - RECIEVE: Proc 1. Queue size is 61
EVENT[T: 1457886271][LC: 170] - RECIEVE: Proc 1. Queue size is 61
EVENT[T: 1457886272][LC: 175] - RECIEVE: Proc 1. Queue size is 62
EVENT[T: 1457886272][LC: 176] - RECIEVE: Proc 1. Queue size is 61
EVENT[T: 1457886273][LC: 182] - RECIEVE: Proc 1. Queue size is 63
EVENT[T: 1457886273][LC: 184] - RECIEVE: Proc 1. Queue size is 64
